userId,recommendedItemId,rank
-9223121837663643404,1356221992133852808,1
-9223121837663643404,-4029704725707465084,2
-9223121837663643404,3149164017776669829,3
-9223121837663643404,-133139342397538859,4
-9223121837663643404,2072448887839540892,5
-9212075797126931087,7521700660190108859,1
-9212075797126931087,-9216926795620865886,2
-9212075797126931087,-4434534460030275781,3
-9212075797126931087,9136323715291453594,4
-9212075797126931087,4831903061865014867,5
-9207251133131336884,-6783772548752091658,1
-9207251133131336884,8224860111193157980,2
-9207251133131336884,-133139342397538859,3
-9207251133131336884,6044362651232258738,4
-9207251133131336884,880612740433495828,5
-9199575329909162940,-8208801367848627943,1
-9199575329909162940,-8518096793350810174,2
-9199575329909162940,7734121175534200554,3
-9199575329909162940,4419562057180692966,4
-9199575329909162940,4774970687540378081,5
-9196668942822132778,1469580151036142903,1
-9196668942822132778,569574447134368517,2
-9196668942822132778,7507067965574797372,3
-9196668942822132778,-5920475612630001479,4
-9196668942822132778,8901449108040307914,5
-9188188261933657343,7507067965574797372,1
-9188188261933657343,2280365999288629014,2
-9188188261933657343,319340024738595907,3
-9188188261933657343,8901449108040307914,4
-9188188261933657343,-4333957157636611418,5
-9172914609055320039,3149164017776669829,1
-9172914609055320039,-8208801367848627943,2
-9172914609055320039,943818026930898372,3
-9172914609055320039,2072448887839540892,4
-9172914609055320039,4419562057180692966,5
-9156344805277471150,9042192299854648021,1
-9156344805277471150,-3716447017462787559,2
-9156344805277471150,4118743389464105405,3
-9156344805277471150,-6523871595334455509,4
-9156344805277471150,-8279505492976427918,5
-9150583489352258206,-3040610224044779845,1
-9150583489352258206,7507067965574797372,2
-9150583489352258206,5854206600849997966,3
-9150583489352258206,-4029704725707465084,4
-9150583489352258206,3367026768872537336,5
-9120685872592674274,-4029704725707465084,1
-9120685872592674274,-6783772548752091658,2
-9120685872592674274,-2447632164766022033,3
-9120685872592674274,3367026768872537336,4
-9120685872592674274,5338677278233757627,5
-9109785559521267180,-4029704725707465084,1
-9109785559521267180,8224860111193157980,2
-9109785559521267180,-6783772548752091658,3
-9109785559521267180,2072448887839540892,4
-9109785559521267180,943818026930898372,5
-9099478998637725255,5238119115012015307,1
-9099478998637725255,-3170783292462058942,2
-9099478998637725255,-5198756378866433953,3
-9099478998637725255,-3900870368325485697,4
-9099478998637725255,8890720798209849691,5
-9083704948999852989,-6783772548752091658,1
-9083704948999852989,-4029704725707465084,2
-9083704948999852989,-1297580205670251233,3
-9083704948999852989,3660989387512978561,4
-9083704948999852989,1469580151036142903,5
-9063420486253202900,9175693555063886126,1
-9063420486253202900,3367026768872537336,2
-9063420486253202900,7507067965574797372,3
-9063420486253202900,7814856426770804213,4
-9063420486253202900,1469580151036142903,5
-9060214117327732109,-2358756719610361882,1
-9060214117327732109,8901449108040307914,2
-9060214117327732109,-133139342397538859,3
-9060214117327732109,4105873627900556540,4
-9060214117327732109,8749720044741011597,5
-9048557723087354030,-8208801367848627943,1
-9048557723087354030,-4029704725707465084,2
-9048557723087354030,-133139342397538859,3
-9048557723087354030,3149164017776669829,4
-9048557723087354030,-8518096793350810174,5
-9047547311469006438,8402348887626635381,1
-9047547311469006438,-5039153034159656707,2
-9047547311469006438,4313871021753084020,3
-9047547311469006438,-4029704725707465084,4
-9047547311469006438,-170687954910264210,5
-9016528795238256703,-6783772548752091658,1
